province_name,year,month,mean_temp,max_temp,min_temp,precipitation
Aceh,1928,09_Sep,25.21,31.76,18.69,197.26
Aceh,1928,10_Oct,25.36,31.79,18.97,366.3
Aceh,1928,11_Nov,25.44,31.51,19.41,225.02
Aceh,1928,12_Dec,25.44,31.28,19.64,334.3
Aceh,1929,01_Jan,24.5,30.66,18.4,86.63
Aceh,1929,02_Feb,24.45,30.4,18.56,225.77
Aceh,1929,03_Mar,24.8,30.97,18.66,165.44
Aceh,1929,04_Apr,25.59,31.86,19.37,128.21
Aceh,1929,05_May,25.45,31.72,19.23,196.0
Aceh,1929,06_Jun,24.69,30.91,18.52,143.81
Aceh,1929,07_Jul,24.96,31.41,18.56,48.36
Aceh,1929,08_Aug,24.94,31.35,18.57,171.86
Aceh,1929,09_Sep,25.24,31.67,18.86,267.35
Aceh,1929,10_Oct,25.26,31.75,18.81,258.12
Aceh,1929,11_Nov,25.24,31.34,19.2,246.57
Aceh,1929,12_Dec,25.19,31.05,19.37,125.34
Aceh,1930,01_Jan,24.47,30.86,18.12,184.52
Aceh,1930,02_Feb,24.67,31.04,18.33,110.74
Aceh,1930,03_Mar,24.88,31.11,18.7,389.54
Aceh,1930,04_Apr,25.63,31.96,19.36,119.23
Aceh,1930,05_May,25.51,31.84,19.24,154.55
Aceh,1930,06_Jun,24.81,31.11,18.58,171.06
Aceh,1930,07_Jul,25.06,31.47,18.71,127.08
Aceh,1930,08_Aug,25.3,31.79,18.86,178.69
Aceh,1930,09_Sep,25.18,31.52,18.89,135.91
Aceh,1930,10_Oct,25.53,31.95,19.17,303.21
Aceh,1930,11_Nov,25.48,31.33,19.67,278.15
Aceh,1930,12_Dec,25.24,31.22,19.29,201.18
Aceh,1931,01_Jan,24.68,30.52,18.9,271.07
Aceh,1931,02_Feb,25.01,31.49,18.59,164.01
Aceh,1931,03_Mar,25.32,31.85,18.86,194.89
Aceh,1931,04_Apr,25.86,31.96,19.81,255.08
Aceh,1931,05_May,25.65,31.96,19.38,164.36
Aceh,1931,06_Jun,25.07,31.14,19.06,184.34
Aceh,1931,07_Jul,24.85,31.15,18.59,143.78
Aceh,1931,08_Aug,25.29,31.69,18.93,290.92
Aceh,1931,09_Sep,25.21,31.6,18.87,336.78
Aceh,1931,10_Oct,25.4,31.76,19.09,318.07
Aceh,1931,11_Nov,25.47,31.67,19.32,235.94
Aceh,1931,12_Dec,25.01,30.87,19.19,271.17
Aceh,1932,01_Jan,24.34,30.58,18.15,226.47
Aceh,1932,02_Feb,24.64,30.88,18.44,232.88
Aceh,1932,03_Mar,24.97,31.24,18.74,227.68
Aceh,1932,04_Apr,25.45,31.56,19.4,225.54
Aceh,1932,05_May,25.4,31.74,19.1,200.7
Aceh,1932,06_Jun,24.67,30.8,18.58,213.74
Aceh,1932,07_Jul,24.79,31.13,18.52,140.01
Aceh,1932,08_Aug,24.71,31.25,18.22,253.58
Aceh,1932,09_Sep,25.05,31.53,18.61,177.76
Aceh,1932,10_Oct,25.47,31.79,19.21,317.48
Aceh,1932,11_Nov,25.23,31.07,19.43,301.65
Aceh,1932,12_Dec,25.13,31.29,19.01,187.05
Aceh,1933,01_Jan,24.53,30.37,18.76,257.42
Aceh,1933,02_Feb,24.62,31.07,18.22,120.23
Aceh,1933,03_Mar,25.03,31.27,18.86,140.11
Aceh,1933,04_Apr,25.58,31.57,19.65,288.63
Aceh,1933,05_May,25.57,31.96,19.24,141.98
Aceh,1933,06_Jun,24.97,31.25,18.75,214.08
Aceh,1933,07_Jul,24.8,31.13,18.54,197.23
Aceh,1933,08_Aug,25.07,31.54,18.65,154.1
Aceh,1933,09_Sep,25.07,31.62,18.59,157.71
Aceh,1933,10_Oct,25.28,31.61,18.99,236.26
Aceh,1933,11_Nov,25.19,31.2,19.23,295.12
Aceh,1933,12_Dec,24.93,31.01,18.92,198.19
Aceh,1934,01_Jan,24.16,30.07,18.32,324.34
Aceh,1934,02_Feb,24.31,30.2,18.47,112.2
Aceh,1934,03_Mar,24.74,30.82,18.72,181.58
Aceh,1934,04_Apr,25.34,31.42,19.3,259.04
Aceh,1934,05_May,25.48,31.71,19.29,168.87
Aceh,1934,06_Jun,24.77,30.81,18.78,149.6
Aceh,1934,07_Jul,24.88,31.24,18.59,257.8
Aceh,1934,08_Aug,24.9,31.28,18.55,231.34
Aceh,1934,09_Sep,25.26,31.59,18.99,285.83
Aceh,1934,10_Oct,25.37,31.6,19.19,333.49
Aceh,1934,11_Nov,25.31,31.33,19.34,236.3
Aceh,1934,12_Dec,25.05,31.17,18.97,173.53
Aceh,1935,01_Jan,24.45,30.63,18.3,276.53
Aceh,1935,02_Feb,24.68,31.03,18.36,120.97
Aceh,1935,03_Mar,25.25,31.34,19.18,163.38
Aceh,1935,04_Apr,25.56,31.76,19.41,232.67
Aceh,1935,05_May,25.22,31.34,19.13,231.92
Aceh,1935,06_Jun,24.73,30.8,18.72,145.71
Aceh,1935,07_Jul,24.94,31.18,18.76,100.08
Aceh,1935,08_Aug,24.86,31.22,18.55,227.49
Aceh,1935,09_Sep,25.22,31.62,18.88,96.29
Aceh,1935,10_Oct,25.5,31.7,19.36,456.08
Aceh,1935,11_Nov,25.36,31.21,19.55,201.0
Aceh,1935,12_Dec,25.14,31.08,19.25,313.33
Aceh,1936,01_Jan,24.5,30.18,18.86,372.2
Aceh,1936,02_Feb,24.82,30.9,18.79,267.83
Aceh,1936,03_Mar,24.99,31.17,18.89,131.34
Aceh,1936,04_Apr,25.6,31.65,19.62,155.96
Aceh,1936,05_May,25.55,31.59,19.56,206.03
Aceh,1936,06_Jun,24.8,30.9,18.74,164.15
Aceh,1936,07_Jul,24.81,31.07,18.59,136.76
Aceh,1936,08_Aug,24.78,31.14,18.49,218.6
Aceh,1936,09_Sep,25.24,31.54,19.0,154.48
Aceh,1936,10_Oct,25.27,31.55,19.06,278.53
Aceh,1936,11_Nov,25.41,31.35,19.52,318.25
Aceh,1936,12_Dec,25.35,31.33,19.42,214.11
Aceh,1937,01_Jan,24.59,30.65,18.59,147.66
Aceh,1937,02_Feb,24.81,31.05,18.61,153.05
Aceh,1937,03_Mar,25.22,31.33,19.14,193.56
Aceh,1937,04_Apr,25.67,31.54,19.86,291.06
Aceh,1937,05_May,25.26,31.36,19.23,242.55
Aceh,1937,06_Jun,24.94,31.01,18.92,85.29
Aceh,1937,07_Jul,24.84,31.14,18.58,119.4
Aceh,1937,08_Aug,25.09,31.6,18.64,169.65
Aceh,1937,09_Sep,25.23,31.56,18.96,193.54
Aceh,1937,10_Oct,25.32,31.61,19.1,240.51
Aceh,1937,11_Nov,25.49,31.44,19.62,227.91
Aceh,1937,12_Dec,25.14,30.9,19.43,227.16
Aceh,1938,01_Jan,24.59,30.63,18.59,192.35
Aceh,1938,02_Feb,24.94,30.92,19.02,134.57
Aceh,1938,03_Mar,24.93,30.68,19.22,287.98
Aceh,1938,04_Apr,25.57,31.4,19.77,174.98
Aceh,1938,05_May,25.3,31.33,19.32,184.16
Aceh,1938,06_Jun,24.97,31.07,18.92,84.69
Aceh,1938,07_Jul,24.79,31.21,18.41,115.01
Aceh,1938,08_Aug,24.77,31.02,18.59,288.4
Aceh,1938,09_Sep,25.17,31.35,19.07,241.94
Aceh,1938,10_Oct,25.45,31.77,19.17,188.0
Aceh,1938,11_Nov,25.31,31.22,19.43,187.07
Aceh,1938,12_Dec,25.21,31.23,19.26,133.56
Aceh,1939,01_Jan,24.72,30.34,19.16,196.12
Aceh,1939,02_Feb,24.57,30.59,18.61,109.86
Aceh,1939,03_Mar,25.0,31.16,18.89,136.74
Aceh,1939,04_Apr,25.57,31.37,19.83,192.37
Aceh,1939,05_May,25.44,31.49,19.43,207.46
Aceh,1939,06_Jun,24.67,30.67,18.74,169.92
Aceh,1939,07_Jul,24.78,31.11,18.48,79.16
Aceh,1939,08_Aug,24.91,31.18,18.7,254.0
