province_name,year,month,mean_temp
Aceh,1956,Jan,23.48
Aceh,1956,Feb,23.97
Aceh,1956,Mar,24.44
Aceh,1956,Apr,25.03
Aceh,1956,May,24.69
Aceh,1956,Jun,24.23
Aceh,1956,Jul,24.06
Aceh,1956,Aug,24.23
Aceh,1956,Sep,24.63
Aceh,1956,Oct,24.76
Aceh,1956,Nov,24.78
Aceh,1956,Dec,24.23
Aceh,1957,Jan,23.89
Aceh,1957,Feb,24.19
Aceh,1957,Mar,24.58
Aceh,1957,Apr,25.42
Aceh,1957,May,25.3
Aceh,1957,Jun,25.14
Aceh,1957,Jul,24.59
Aceh,1957,Aug,24.65
Aceh,1957,Sep,24.93
Aceh,1957,Oct,25.14
Aceh,1957,Nov,25.43
Aceh,1957,Dec,25.06
Aceh,1958,Jan,24.8
Aceh,1958,Feb,24.69
Aceh,1958,Mar,25.03
Aceh,1958,Apr,25.8
Aceh,1958,May,25.96
Aceh,1958,Jun,25.0
Aceh,1958,Jul,24.86
Aceh,1958,Aug,24.58
Aceh,1958,Sep,25.28
Aceh,1958,Oct,25.24
Aceh,1958,Nov,24.74
Aceh,1958,Dec,24.91
Aceh,1959,Jan,24.53
Aceh,1959,Feb,24.93
Aceh,1959,Mar,24.83
Aceh,1959,Apr,25.2
Aceh,1959,May,25.27
Aceh,1959,Jun,24.93
Aceh,1959,Jul,24.39
Aceh,1959,Aug,24.45
Aceh,1959,Sep,24.89
Aceh,1959,Oct,25.06
Aceh,1959,Nov,25.16
Aceh,1959,Dec,25.25
Aceh,1960,Jan,24.44
Aceh,1960,Feb,24.42
Aceh,1960,Mar,24.86
Aceh,1960,Apr,25.35
Aceh,1960,May,25.34
Aceh,1960,Jun,24.63
Aceh,1960,Jul,24.57
Aceh,1960,Aug,24.94
Aceh,1960,Sep,25.01
Aceh,1960,Oct,25.35
Aceh,1960,Nov,24.95
Aceh,1960,Dec,24.96
Aceh,1961,Jan,24.12
Aceh,1961,Feb,24.54
Aceh,1961,Mar,24.78
Aceh,1961,Apr,25.07
Aceh,1961,May,25.18
Aceh,1961,Jun,24.42
Aceh,1961,Jul,24.33
Aceh,1961,Aug,24.61
Aceh,1961,Sep,24.58
Aceh,1961,Oct,24.86
Aceh,1961,Nov,25.01
Aceh,1961,Dec,24.86
Aceh,1962,Jan,24.02
Aceh,1962,Feb,24.03
Aceh,1962,Mar,24.36
Aceh,1962,Apr,25.18
Aceh,1962,May,25.39
Aceh,1962,Jun,24.46
Aceh,1962,Jul,24.46
Aceh,1962,Aug,24.03
Aceh,1962,Sep,24.89
Aceh,1962,Oct,25.08
Aceh,1962,Nov,25.22
Aceh,1962,Dec,24.85
Aceh,1963,Jan,23.36
Aceh,1963,Feb,23.82
Aceh,1963,Mar,24.63
Aceh,1963,Apr,25.44
Aceh,1963,May,25.5
Aceh,1963,Jun,24.73
Aceh,1963,Jul,24.74
Aceh,1963,Aug,24.6
Aceh,1963,Sep,25.08
Aceh,1963,Oct,25.09
Aceh,1963,Nov,25.29
Aceh,1963,Dec,25.07
Aceh,1964,Jan,24.77
Aceh,1964,Feb,24.59
Aceh,1964,Mar,24.78
Aceh,1964,Apr,25.4
