province_name,year,month,max_temp
Aceh,1964,Jan,30.87
Aceh,1964,Feb,30.33
Aceh,1964,Mar,30.9
Aceh,1964,Apr,31.46
Aceh,1964,May,31.03
Aceh,1964,Jun,30.65
Aceh,1964,Jul,30.49
Aceh,1964,Aug,30.92
Aceh,1964,Sep,31.08
Aceh,1964,Oct,31.12
Aceh,1964,Nov,30.64
Aceh,1964,Dec,30.41
Aceh,1965,Jan,30.11
Aceh,1965,Feb,30.39
Aceh,1965,Mar,30.58
Aceh,1965,Apr,30.75
Aceh,1965,May,30.96
Aceh,1965,Jun,30.71
Aceh,1965,Jul,30.75
Aceh,1965,Aug,30.76
Aceh,1965,Sep,30.8
Aceh,1965,Oct,31.41
Aceh,1965,Nov,31.3
Aceh,1965,Dec,30.49
Aceh,1966,Jan,30.1
Aceh,1966,Feb,30.66
Aceh,1966,Mar,30.66
Aceh,1966,Apr,31.41
Aceh,1966,May,31.11
Aceh,1966,Jun,30.6
Aceh,1966,Jul,30.56
Aceh,1966,Aug,30.67
Aceh,1966,Sep,31.38
Aceh,1966,Oct,31.13
Aceh,1966,Nov,30.93
Aceh,1966,Dec,30.48
Aceh,1967,Jan,29.09
Aceh,1967,Feb,29.54
Aceh,1967,Mar,30.66
Aceh,1967,Apr,31.17
Aceh,1967,May,31.06
Aceh,1967,Jun,30.53
Aceh,1967,Jul,30.68
Aceh,1967,Aug,30.77
Aceh,1967,Sep,31.43
Aceh,1967,Oct,31.19
Aceh,1967,Nov,31.04
Aceh,1967,Dec,30.65
Aceh,1968,Jan,30.0
Aceh,1968,Feb,30.84
Aceh,1968,Mar,30.98
Aceh,1968,Apr,31.33
Aceh,1968,May,31.06
Aceh,1968,Jun,30.83
Aceh,1968,Jul,30.55
Aceh,1968,Aug,30.84
Aceh,1968,Sep,31.0
Aceh,1968,Oct,31.22
Aceh,1968,Nov,31.81
Aceh,1968,Dec,31.04
Aceh,1969,Jan,30.6
Aceh,1969,Feb,30.81
Aceh,1969,Mar,31.55
Aceh,1969,Apr,31.96
Aceh,1969,May,31.76
Aceh,1969,Jun,30.67
Aceh,1969,Jul,31.08
Aceh,1969,Aug,30.87
Aceh,1969,Sep,31.31
Aceh,1969,Oct,31.61
Aceh,1969,Nov,30.36
Aceh,1969,Dec,30.75
Aceh,1970,Jan,30.4
Aceh,1970,Feb,30.88
Aceh,1970,Mar,31.22
Aceh,1970,Apr,31.27
Aceh,1970,May,31.4
Aceh,1970,Jun,30.81
Aceh,1970,Jul,30.48
Aceh,1970,Aug,31.08
Aceh,1970,Sep,31.0
Aceh,1970,Oct,30.92
Aceh,1970,Nov,30.9
Aceh,1970,Dec,30.63
Aceh,1971,Jan,29.36
Aceh,1971,Feb,29.57
Aceh,1971,Mar,29.98
Aceh,1971,Apr,31.43
Aceh,1971,May,31.17
Aceh,1971,Jun,30.3
Aceh,1971,Jul,30.28
Aceh,1971,Aug,30.25
Aceh,1971,Sep,31.44
Aceh,1971,Oct,31.06
Aceh,1971,Nov,30.53
Aceh,1971,Dec,30.12
Aceh,1972,Jan,30.01
Aceh,1972,Feb,30.48
Aceh,1972,Mar,30.91
Aceh,1972,Apr,30.76
Aceh,1972,May,31.71
Aceh,1972,Jun,30.67
Aceh,1972,Jul,31.28
Aceh,1972,Aug,31.41
Aceh,1972,Sep,31.32
Aceh,1972,Oct,31.95
Aceh,1972,Nov,31.27
Aceh,1972,Dec,31.1
Aceh,1973,Jan,30.74
Aceh,1973,Feb,31.19
Aceh,1973,Mar,31.02
Aceh,1973,Apr,31.5
Aceh,1973,May,31.28
Aceh,1973,Jun,30.76
Aceh,1973,Jul,30.84
Aceh,1973,Aug,31.02
Aceh,1973,Sep,31.12
Aceh,1973,Oct,31.37
Aceh,1973,Nov,30.8
Aceh,1973,Dec,29.55
Aceh,1974,Jan,29.54
Aceh,1974,Feb,29.65
Aceh,1974,Mar,30.7
Aceh,1974,Apr,30.88
